linhaFonte,codigoProdutoLegado,descricaoCadastro,numeroLote,validade,quantidade,custoUnitario,observacao
776,SN50006,SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 10G - ALTEFAR,055466,2027-05-31,23,0,IMPORT_PRODUTOS_854968:linha=776:codigo=SN50006 | nomeOriginal=SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 10G - ALTEFAR - LT: 055466 VL: 05/27 | fornecedorLegado=0
777,SN+0002,SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G ALTEFAR,25062,2027-02-28,3,0,IMPORT_PRODUTOS_854968:linha=777:codigo=SN+0002 | nomeOriginal=SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G ALTEFAR LT 25062 VL 02/27 | fornecedorLegado=0
778,SN50005,SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G MEDLEY,LFKP01598,2027-01-31,1,2,IMPORT_PRODUTOS_854968:linha=778:codigo=SN50005 | nomeOriginal=SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G MEDLEY - LT LFKP01598 - VL 01/27 | fornecedorLegado=0
779,SN50004,SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G MEDLEY,LFKP07863,2027-06-30,1,2,IMPORT_PRODUTOS_854968:linha=779:codigo=SN50004 | nomeOriginal=SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G MEDLEY - LT LFKP07863 - VL 06/27 | fornecedorLegado=0
780,SN50001,SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G PRATI,25G145,2027-06-30,1,0,IMPORT_PRODUTOS_854968:linha=780:codigo=SN50001 | nomeOriginal=SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G PRATI LT 25G145 VL 06/27 | fornecedorLegado=0
781,SN50003,SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G PRATI,25K47S,2027-11-30,24,2,IMPORT_PRODUTOS_854968:linha=781:codigo=SN50003 | nomeOriginal=SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G PRATI LT 25K47S VL 11/27 | fornecedorLegado=0
782,SN50002,SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G PRATI,25L194,2027-11-30,4,2,IMPORT_PRODUTOS_854968:linha=782:codigo=SN50002 | nomeOriginal=SULFATO DE NEOMICINA 5MG/G + BACITRACINA ZINCICA 250UI/G 15G PRATI LT 25L194 VL 11/27 | fornecedorLegado=0
785,SF40001,SURGICEL FIBRILLAR 4INX4IN (10.2CMX10.2CM) - ETHICON,10C62K,2028-08-31,7,50,IMPORT_PRODUTOS_854968:linha=785:codigo=SF40001 | nomeOriginal=SURGICEL FIBRILLAR 4INX4IN (10.2CMX10.2CM) - ETHICON - LT: 10C62K VL: 08/28 | fornecedorLegado=0
789,T2C0002,TENOXICAM 20MG/2ML CX/50 - EUROFARMA,138295,2027-12-31,100,4.5,IMPORT_PRODUTOS_854968:linha=789:codigo=T2C0002 | nomeOriginal=TENOXICAM 20MG/2ML  CX/50 - EUROFARMA - LT: 138295 VL: 12/27 | fornecedorLegado=0
790,T2C0003,TENOXICAM 20MG/2ML CX/50 - EUROFARMA,138297,2027-12-31,50,4.5,IMPORT_PRODUTOS_854968:linha=790:codigo=T2C0003 | nomeOriginal=TENOXICAM 20MG/2ML  CX/50 - EUROFARMA - LT: 138297 VL: 12/27 | fornecedorLegado=0
791,T2C0005,TENOXICAM 20MG/2ML CX/50 - EUROFARMA,138444,2027-12-31,50,4.5,IMPORT_PRODUTOS_854968:linha=791:codigo=T2C0005 | nomeOriginal=TENOXICAM 20MG/2ML  CX/50 - EUROFARMA - LT: 138444 VL: 12/27 | fornecedorLegado=0
792,T2C0029,TENOXICAM 20MG/2ML CX/50 - EUROFARMA,144916,2028-01-31,910,4.5,IMPORT_PRODUTOS_854968:linha=792:codigo=T2C0029 | nomeOriginal=TENOXICAM 20MG/2ML  CX/50 - EUROFARMA - LT: 144916 VAL VL: 01/28 | fornecedorLegado=0
793,T2C0030,TENOXICAM 20MG/2ML CX/50 CRISTALIA,50036156,2027-12-31,25,4,IMPORT_PRODUTOS_854968:linha=793:codigo=T2C0030 | nomeOriginal=TENOXICAM 20MG/2ML  CX/50 CRISTALIA - LT: 50036156 VAL: 12/27 | fornecedorLegado=0
814,V2F0002,VASOPRESSINA 20U/ML FR 1ML ENCRISE CX/25 - BIOLAB,50204274,2027-06-30,1,10,IMPORT_PRODUTOS_854968:linha=814:codigo=V2F0002 | nomeOriginal=VASOPRESSINA 20U/ML FR 1ML ENCRISE CX/25 - BIOLAB - LT: 50204274 VL: 06/27 | fornecedorLegado=0
817,V2F0004,VASOPRESSINA 20U/ML FR 1ML ENCRISE CX/25 - BIOLAB,50505814,2027-08-31,4,10,IMPORT_PRODUTOS_854968:linha=817:codigo=V2F0004 | nomeOriginal=VASOPRESSINA 20U/ML FR 1ML ENCRISE CX/25 - BIOLAB - LT: 50505814 VL: 08/27 | fornecedorLegado=0
818,V2F0006,VASOPRESSINA 20U/ML FR 1ML ENCRISE CX/25 - BIOLAB,50607154,2027-10-31,6,10,IMPORT_PRODUTOS_854968:linha=818:codigo=V2F0006 | nomeOriginal=VASOPRESSINA 20U/ML FR 1ML ENCRISE CX/25 - BIOLAB - LT: 50607154 VL: 10/27 | fornecedorLegado=0
