linhaFonte,codigoProdutoLegado,descricaoCadastro,numeroLote,validade,quantidade,custoUnitario,observacao
368,CS(0001,CURATIVO SURGICEL (1951) 5.1CM X 35.6CM 2INX14IN - ETHICON,105S8U,2029-09-30,5,2,IMPORT_PRODUTOS_854968:linha=368:codigo=CS(0001 | nomeOriginal=CURATIVO SURGICEL (1951) 5.1CM X 35.6CM 2INX14IN - ETHICON - LT: 105S8U VL: 09/29 | fornecedorLegado=0
371,CS(0038,CURATIVO SURGICEL (1952) 10.2CM X 20.3CM 4X8 ETHICON,105S8T,2031-10-31,2,2,IMPORT_PRODUTOS_854968:linha=371:codigo=CS(0038 | nomeOriginal=CURATIVO SURGICEL (1952) 10.2CM X 20.3CM 4X8 ETHICON LT:105S8T  VAL: 10/31 | fornecedorLegado=0
376,CS(0037,CURATIVO SURGICEL (1953) 5.1CM X 7.6CM 2X3 ETHICON,104U40,2031-08-31,4,2,IMPORT_PRODUTOS_854968:linha=376:codigo=CS(0037 | nomeOriginal=CURATIVO SURGICEL (1953) 5.1CM X 7.6CM 2X3 ETHICON LT:104U40  VAL: 08/31 | fornecedorLegado=0
385,DS50004,DIPIRONA MONOIDRATADA 500MG CP CX/ 200 - PRATI,24H512,2026-07-31,1170,0.05,IMPORT_PRODUTOS_854968:linha=385:codigo=DS50004 | nomeOriginal=DIPIRONA MONOIDRATADA 500MG CP CX/ 200 - PRATI - LT: 24H512 VL: 07/26 | fornecedorLegado=0
391,DS10001,DIPIRONA SÓDICA 500MG/ML 2ML AP CX/100 - SANTISA,20732725,2027-09-30,1200,0.53,IMPORT_PRODUTOS_854968:linha=391:codigo=DS10001 | nomeOriginal=DIPIRONA SÓDICA 500MG/ML 2ML AP CX/100 - SANTISA - LT: 20732725 VL: 09/27 | fornecedorLegado=0
395,DPS0001,DRENO P/ SUCÇÃO 14FRX54CM HAIBREATH - SHAOXING HAITECH,2501286,2030-04-30,24,1,IMPORT_PRODUTOS_854968:linha=395:codigo=DPS0001 | nomeOriginal=DRENO P/ SUCÇÃO 14FRX54CM  HAIBREATH - SHAOXING HAITECH - LT: 2501286 VL: 04/30 | fornecedorLegado=0
403,E4-0009,ENOXAPARINA 40MG - CX/10 - VIATRIS,AB14861A,2027-10-31,20,12.2,IMPORT_PRODUTOS_854968:linha=403:codigo=E4-0009 | nomeOriginal=ENOXAPARINA 40MG - CX/10 - VIATRIS - LT: AB14861A VL: 10/27 | fornecedorLegado=0
411,E2-0001,ENOXAPARINA 80MG - CX/02 - VIATRIS,AD08393B,2027-01-31,68,8,IMPORT_PRODUTOS_854968:linha=411:codigo=E2-0001 | nomeOriginal=ENOXAPARINA 80MG - CX/02 - VIATRIS - LT: AD08393B VL: 01/27 | fornecedorLegado=0
439,EHH0017,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),075825,2027-01-31,9,15,IMPORT_PRODUTOS_854968:linha=439:codigo=EHH0017 | nomeOriginal=ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON) LT: 075825 VAL: 01/27 | fornecedorLegado=0
443,EHH0004,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),163725,2027-03-31,6,15,IMPORT_PRODUTOS_854968:linha=443:codigo=EHH0004 | nomeOriginal=ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON) LT: 163725 VAL: 03/27 | fornecedorLegado=0
445,EHH0019,ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON),262925,2027-04-30,16,15,IMPORT_PRODUTOS_854968:linha=445:codigo=EHH0019 | nomeOriginal=ESPONJA HEMOSTATICA 125X80X10MM - MAQUIRA (HEMOSPON) LT: 262925 VAL: 04/27 | fornecedorLegado=0
449,E10001,ETILEFRINA 10MG/1ML AP CX6 UNIÃO QUIMICA,2618386,2028-04-30,2,2.2,IMPORT_PRODUTOS_854968:linha=449:codigo=E10001 | nomeOriginal=ETILEFRINA 10MG/1ML AP CX6 UNIÃO QUIMICA LT 2618386 VAL 04/28 | fornecedorLegado=0
452,FS50002,FENITOÍNA SÓDICA 50MG/ML 5ML - CX/72 - TEUTO,1419241,2026-12-31,2,3.16,IMPORT_PRODUTOS_854968:linha=452:codigo=FS50002 | nomeOriginal=FENITOÍNA SÓDICA 50MG/ML 5ML - CX/72 - TEUTO - LT: 1419241 VL: 12/26 | fornecedorLegado=GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA.
454,F1C0001,FENOBARBITAL 100MG - CX/200 - CART/10CP - (FENOCRIS) CRISTALIA,50021405,2026-11-30,150,0.23,IMPORT_PRODUTOS_854968:linha=454:codigo=F1C0001 | nomeOriginal=FENOBARBITAL 100MG - CX/200 - CART/10CP - (FENOCRIS) CRISTALIA LT: 50021405 VL: 11/26 | fornecedorLegado=0
455,F370002,FIO BIOLINE SB10X20CM ABSORVIVEL,202415746,2026-09-30,2,10,IMPORT_PRODUTOS_854968:linha=455:codigo=F370002 | nomeOriginal=FIO BIOLINE SB10X20CM ABSORVIVEL LT 202415746 VAL: 09/26 | fornecedorLegado=0
456,FBS0001,FIO BIOLINE SB10X20CM ABSORVIVEL,202415910,2026-09-30,1,10,IMPORT_PRODUTOS_854968:linha=456:codigo=FBS0001 | nomeOriginal=FIO BIOLINE SB10X20CM ABSORVIVEL LT 202415910 VAL: 09/26 | fornecedorLegado=0
463,FEV0001,FITOMENADIONA ESKAVIT VITAMINA K 10MG/ML 01ML FR CX/50 - HIPOLABOR,AU-005/25,2027-02-28,500,1.5,IMPORT_PRODUTOS_854968:linha=463:codigo=FEV0001 | nomeOriginal=FITOMENADIONA ESKAVIT VITAMINA K 10MG/ML 01ML FR CX/50 - HIPOLABOR - LT: AU-005/25 VL: 02/27 | fornecedorLegado=0
